id,number,title,created_at,updated_at,closed_at,state,comments_count,labels,user_login,is_pull_request,body_length,html_url
650883,14,Issue #13: Poster headers preservation,2011-03-06T19:11:43Z,2021-09-08T11:00:58Z,2011-03-07T00:03:05Z,closed,2,,jlmurphy,True,384,https://github.com/psf/requests/pull/14
658820,15,Fixed cookie functionality,2011-03-09T11:33:18Z,2021-09-08T23:07:13Z,2011-03-09T18:23:25Z,closed,0,,Aramgutang,True,139,https://github.com/psf/requests/pull/15
715545,16,HAR support,2011-03-29T20:54:25Z,2021-09-09T13:05:55Z,2011-04-14T23:58:32Z,closed,1,,kennethreitz,False,99,https://github.com/psf/requests/issues/16
716767,17,Fixing User-agent header problem introduced with Python 2.7.1,2011-03-30T05:10:09Z,2021-09-08T23:06:05Z,2011-03-30T05:37:49Z,closed,5,,robmadole,True,401,https://github.com/psf/requests/pull/17
753742,18,gzip decompression,2011-04-11T12:22:26Z,2021-09-09T13:05:55Z,2011-04-11T13:44:54Z,closed,8,,aantn,False,53,https://github.com/psf/requests/issues/18
754044,19,Automatically Handle Server-side Compression,2011-04-11T13:44:30Z,2021-09-09T13:05:56Z,2011-04-14T23:46:42Z,closed,0,,kennethreitz,False,308,https://github.com/psf/requests/issues/19
754126,20,Fix Auth Registry,2011-04-11T14:05:00Z,2021-09-09T12:00:40Z,2011-04-15T21:21:45Z,closed,1,,kennethreitz,False,43,https://github.com/psf/requests/issues/20
756234,21,The documentation link 404s.,2011-04-11T20:30:20Z,2021-09-09T13:05:56Z,2011-04-12T02:11:54Z,closed,1,,toastdriven,False,80,https://github.com/psf/requests/issues/21
771703,22,Sphinx Documentation,2011-04-14T23:55:36Z,2021-09-09T13:05:52Z,2011-05-16T08:10:43Z,closed,2,,kennethreitz,False,21,https://github.com/psf/requests/issues/22
798342,23,Tracking chained redirection,2011-04-21T11:19:09Z,2021-09-09T13:05:53Z,2011-05-15T03:01:19Z,closed,8,,esaurito,False,347,https://github.com/psf/requests/issues/23
798454,24,Nitpicking,2011-04-21T12:05:23Z,2021-09-08T23:06:05Z,2011-04-21T14:17:03Z,closed,1,,jgorset,True,53,https://github.com/psf/requests/pull/24
798565,25,Timeout,2011-04-21T12:51:12Z,2021-09-08T23:01:10Z,2011-04-21T14:28:33Z,closed,3,,jgorset,True,154,https://github.com/psf/requests/pull/25
799308,26,Context manager for settings,2011-04-21T16:21:38Z,2021-09-08T11:00:59Z,2011-05-12T07:56:28Z,closed,2,,jgorset,True,551,https://github.com/psf/requests/pull/26
868398,27,Facilitation for non-ASCII-compatible unicode strings,2011-05-09T10:55:08Z,2021-09-09T13:05:54Z,2011-05-12T07:14:16Z,closed,1,,jgorset,False,2226,https://github.com/psf/requests/issues/27
888317,28,Encode both keys and values for incoming unicode data as UTF-8,2011-05-12T08:27:35Z,2021-09-08T11:00:59Z,2011-05-12T14:12:16Z,closed,1,,jgorset,True,353,https://github.com/psf/requests/pull/28
890621,29,fix for post non-dict data,2011-05-12T17:34:52Z,2021-09-08T23:07:30Z,2011-05-14T17:04:53Z,closed,3,,meganemura,True,161,https://github.com/psf/requests/pull/29
894748,30,HTTPS Cert Checking,2011-05-13T13:31:24Z,2021-09-09T10:00:40Z,2011-12-28T09:22:46Z,closed,30,"Feature Request,Planned",kennethreitz,False,30,https://github.com/psf/requests/issues/30
900108,31,Compensate for urllib2's basic http retry,2011-05-14T17:28:27Z,2021-09-09T13:05:54Z,2011-05-14T18:02:40Z,closed,0,,kennethreitz,False,52,https://github.com/psf/requests/issues/31
925996,32,Tests & refactoring,2011-05-19T08:19:23Z,2021-09-08T11:01:00Z,2011-05-19T15:39:06Z,closed,1,,jgorset,True,0,https://github.com/psf/requests/pull/32
927942,33,GET request to PyPI does not work,2011-05-19T16:46:41Z,2021-09-09T13:05:51Z,2011-05-22T15:31:31Z,closed,6,,rubik,False,281,https://github.com/psf/requests/issues/33
932730,34,Exceptions,2011-05-20T16:31:37Z,2021-09-08T23:08:26Z,2011-05-20T16:40:29Z,closed,5,,jgorset,True,732,https://github.com/psf/requests/pull/34
933251,35,Migrate settings to new module,2011-05-20T18:38:28Z,2021-09-08T11:01:01Z,2011-05-21T17:04:37Z,closed,3,,jgorset,True,347,https://github.com/psf/requests/pull/35
935846,36,Support Relative Redirects,2011-05-21T15:24:49Z,2021-09-09T13:05:52Z,2011-05-22T15:26:07Z,closed,0,,kennethreitz,False,71,https://github.com/psf/requests/issues/36
937441,37,Support relative redirects. Fixes #36,2011-05-22T09:40:51Z,2021-09-08T11:01:01Z,2011-05-22T15:26:07Z,closed,2,,jgorset,True,38,https://github.com/psf/requests/pull/37
938916,38,Refactor,2011-05-22T21:46:29Z,2021-09-08T11:01:00Z,2011-05-22T22:01:25Z,closed,1,,jgorset,True,284,https://github.com/psf/requests/pull/38
942037,39,e.g. should be i.e. I guess,2011-05-23T15:41:41Z,2021-09-08T11:01:02Z,2011-05-23T15:42:53Z,closed,1,,mrtazz,True,122,https://github.com/psf/requests/pull/39
957525,40,Fix allow_redirects,2011-05-26T09:04:18Z,2021-09-09T13:05:50Z,2011-05-27T11:59:34Z,closed,2,,espenhogbakk,False,490,https://github.com/psf/requests/issues/40
957529,41,allow_redirects doesn't work,2011-05-26T09:05:05Z,2021-09-09T13:05:50Z,2011-05-27T11:59:34Z,closed,4,,jgorset,False,356,https://github.com/psf/requests/issues/41
960095,42,Refactor requests.get/head/post/put/delete to conform to requests.request,2011-05-26T18:05:13Z,2021-09-08T11:01:02Z,2011-05-26T18:10:24Z,closed,0,,jgorset,True,0,https://github.com/psf/requests/pull/42
960255,43,Conform api.get/head/post/put/delete default arguments to api.request default arguments,2011-05-26T18:31:16Z,2021-09-08T11:01:03Z,2011-05-27T06:27:50Z,closed,0,,jgorset,True,75,https://github.com/psf/requests/pull/43
961901,44,Authorization header missing?,2011-05-26T23:55:19Z,2021-09-09T13:05:51Z,2011-05-27T02:15:42Z,closed,2,,edsu,False,509,https://github.com/psf/requests/issues/44
962879,45,Conform api.* arguments to api.request arguments,2011-05-27T06:33:55Z,2021-09-08T11:01:03Z,2011-05-27T11:59:34Z,closed,0,,jgorset,True,0,https://github.com/psf/requests/pull/45
963009,46,request.header objects don't support the standard keys() method of dicts,2011-05-27T07:21:30Z,2021-09-08T11:01:04Z,2011-05-27T12:01:44Z,closed,0,,JNRowe,True,462,https://github.com/psf/requests/pull/46
963404,47,Kerberos support,2011-05-27T09:14:23Z,2021-09-09T05:00:46Z,2012-07-31T00:46:00Z,closed,21,"Feature Request,Contributor Friendly",FedericoCeratto,False,294,https://github.com/psf/requests/issues/47
965123,48,requests.post should accept strings in addition to dicts,2011-05-27T15:39:08Z,2021-09-09T13:05:49Z,2011-05-27T16:56:49Z,closed,2,,pydanny,False,871,https://github.com/psf/requests/issues/48
967308,49,Investigate auth_manager base urls,2011-05-28T01:12:31Z,2021-09-09T13:05:46Z,2011-06-22T02:27:16Z,closed,1,,kennethreitz,False,22,https://github.com/psf/requests/issues/49
967312,50,Add verbose logging support for debugging,2011-05-28T01:13:42Z,2021-09-09T08:00:42Z,2011-06-22T02:27:21Z,closed,3,,kennethreitz,False,231,https://github.com/psf/requests/issues/50
967324,51,Possible Feature: Request Status Callback Hooks,2011-05-28T01:16:19Z,2021-09-09T12:00:40Z,2011-08-23T15:06:39Z,closed,0,,kennethreitz,False,143,https://github.com/psf/requests/issues/51
972749,52,Timeouts throw exception from urllib2,2011-05-30T05:01:17Z,2021-09-09T13:05:49Z,2011-05-30T06:14:04Z,closed,1,,toastdriven,False,344,https://github.com/psf/requests/issues/52
972925,53,Authenticaion Context Manager,2011-05-30T06:25:47Z,2021-09-09T13:05:45Z,2011-06-22T02:49:25Z,closed,1,,kennethreitz,False,120,https://github.com/psf/requests/issues/53
976984,54,Add support for proxies,2011-05-31T05:17:46Z,2021-09-09T13:05:47Z,2011-06-22T02:26:48Z,closed,2,,j0hnsmith,False,253,https://github.com/psf/requests/issues/54
991550,55,Support for OPTIONS and PATCH,2011-06-02T18:50:44Z,2021-09-09T13:05:47Z,2011-06-22T02:27:07Z,closed,1,Feature Request,kennethreitz,False,0,https://github.com/psf/requests/issues/55
1002948,56,Auth fail for private github repo,2011-06-04T16:23:34Z,2021-09-09T12:00:46Z,2011-07-24T02:55:20Z,closed,6,Bug,mw44118,False,949,https://github.com/psf/requests/issues/56
1028800,57,Requests is too awesome.,2011-06-09T08:17:18Z,2021-09-09T13:05:48Z,2011-06-11T15:15:56Z,closed,2,,erinxocon,False,83,https://github.com/psf/requests/issues/57
1029334,58,Testing that cookies actually work.,2011-06-09T10:34:54Z,2021-09-08T11:01:03Z,2011-06-09T22:09:15Z,closed,1,,zsiciarz,True,149,https://github.com/psf/requests/pull/58
1034347,59,Header capitalization,2011-06-10T03:56:02Z,2021-09-08T11:01:04Z,2011-07-24T01:45:01Z,closed,4,Bug,steder,True,421,https://github.com/psf/requests/pull/59
1062411,60,Handle Connection Refused properly,2011-06-15T16:58:37Z,2021-09-09T13:05:46Z,2011-06-22T02:48:40Z,closed,2,,kennethreitz,False,76,https://github.com/psf/requests/issues/60
1065211,61,settings.verbose stream/logger support,2011-06-16T02:42:48Z,2021-09-09T13:05:48Z,2011-06-22T02:26:34Z,closed,5,,kennethreitz,False,91,https://github.com/psf/requests/issues/61
1065804,62,cookie test with httpbin,2011-06-16T07:11:17Z,2021-09-08T11:01:05Z,2011-06-16T07:13:58Z,closed,3,,zsiciarz,True,30,https://github.com/psf/requests/pull/62
1066729,63,"Allow querystring parameters with POST, PUT",2011-06-16T11:01:19Z,2021-09-09T13:05:44Z,2011-06-22T02:01:32Z,closed,4,,rboulton,False,346,https://github.com/psf/requests/issues/63
1067641,64,Apache License v2,2011-06-16T14:17:19Z,2021-09-09T04:00:36Z,2011-06-22T01:04:41Z,closed,12,,kennethreitz,False,0,https://github.com/psf/requests/issues/64
1073465,65,OAuth Support,2011-06-17T13:29:09Z,2021-09-09T05:00:50Z,2012-06-15T18:26:01Z,closed,17,"Feature Request,Planned",kennethreitz,False,9,https://github.com/psf/requests/issues/65
1081794,66,Support for proxies,2011-06-19T20:50:59Z,2021-09-08T23:06:25Z,2011-06-21T04:03:54Z,closed,3,,moliware,True,216,https://github.com/psf/requests/pull/66
1094313,67,Added setuptools management to setup.py,2011-06-21T20:50:30Z,2021-09-08T11:01:05Z,2011-06-21T21:34:30Z,closed,1,,aparo,True,164,https://github.com/psf/requests/pull/67
1094976,68,Remove Poster,2011-06-21T22:48:18Z,2021-09-09T12:00:35Z,2011-09-25T23:44:38Z,closed,2,Planned,kennethreitz,False,95,https://github.com/psf/requests/issues/68
1095815,69,Parameters are getting out of hand. ,2011-06-22T02:14:54Z,2021-09-09T13:05:43Z,2011-06-24T01:34:04Z,closed,12,Planned,kennethreitz,False,163,https://github.com/psf/requests/issues/69
1095924,70,Python 3.x Support,2011-06-22T02:50:00Z,2021-09-09T10:00:41Z,2012-01-23T08:05:24Z,closed,14,Planned,kennethreitz,False,28,https://github.com/psf/requests/issues/70
1099736,71,v0.5 is backwards incompatible,2011-06-22T18:00:50Z,2021-09-09T13:05:44Z,2011-06-23T07:24:20Z,closed,6,,jgorset,False,632,https://github.com/psf/requests/issues/71
1102925,72,please support https client certificate authentication,2011-06-23T07:55:37Z,2021-09-09T12:00:40Z,2011-08-23T15:11:49Z,closed,0,Feature Request,cjw296,False,982,https://github.com/psf/requests/issues/72
1102938,73,workaround for urllib2 md5-sess bug,2011-06-23T07:59:12Z,2021-09-09T10:00:50Z,2011-11-27T16:09:47Z,closed,2,Feature Request,cjw296,False,184,https://github.com/psf/requests/issues/73
1103017,74,Remove AuthManager,2011-06-23T08:21:04Z,2021-09-09T12:00:36Z,2011-09-25T23:44:32Z,closed,1,Planned,kennethreitz,False,277,https://github.com/psf/requests/issues/74
1107824,75,Add Proxies to requests.settings,2011-06-24T01:34:46Z,2021-09-09T12:00:43Z,2011-08-17T04:19:05Z,closed,1,,kennethreitz,False,0,https://github.com/psf/requests/issues/75
1109177,76,Requests does not support Internationalized domain name (idna),2011-06-24T09:56:27Z,2021-09-09T12:00:49Z,2011-06-24T22:24:49Z,closed,0,Feature Request,jerem,False,2375,https://github.com/psf/requests/issues/76
1109253,77,Implemented idna (fixes #76).,2011-06-24T10:23:38Z,2021-09-08T12:01:11Z,2011-06-24T22:24:49Z,closed,1,,jerem,True,0,https://github.com/psf/requests/pull/77
1109282,78,Request_gzip = True,2011-06-24T10:28:49Z,2021-09-09T12:00:47Z,2011-07-24T02:35:50Z,closed,3,"Feature Request,Bug,Planned",jerem,False,105,https://github.com/psf/requests/issues/78
1110992,79,Doesn't return complete URL in response.url when url has a hash (#) character,2011-06-24T16:07:36Z,2021-09-09T13:05:43Z,2011-06-24T16:20:02Z,closed,3,,lsemel,False,663,https://github.com/psf/requests/issues/79
1116477,80,Please add doseq to urlencode in model._encode_params,2011-06-26T04:40:39Z,2021-09-09T12:00:48Z,2011-06-26T05:08:51Z,closed,0,,cqpx,False,455,https://github.com/psf/requests/issues/80
1116486,81,add doseq to urlencode in model._encode_params to enable list as dict value,2011-06-26T04:52:30Z,2021-09-08T23:06:00Z,2011-06-26T05:30:22Z,closed,0,,cqpx,True,1987,https://github.com/psf/requests/pull/81
1116522,82,add doseq to urlencode in model._encode_params to enable list as dict value,2011-06-26T05:33:03Z,2021-09-08T12:01:12Z,2011-06-26T07:50:54Z,closed,0,,cqpx,True,2076,https://github.com/psf/requests/pull/82
1116596,83,[feature request] support multiple values with same name in get/post data,2011-06-26T06:49:05Z,2021-09-09T12:00:46Z,2011-07-24T02:52:20Z,closed,0,,cqpx,False,2686,https://github.com/psf/requests/issues/83
1116650,84,post file to flask with requests-lib result is different than from a sever,2011-06-26T07:35:48Z,2021-09-09T12:00:48Z,2011-06-26T07:42:41Z,closed,1,,cqpx,False,1703,https://github.com/psf/requests/issues/84
1116666,85,add doseq to urlencode in model._encode_params to enable list as dict value,2011-06-26T07:52:27Z,2021-09-09T12:00:48Z,2011-06-26T07:56:02Z,closed,1,,cqpx,False,2480,https://github.com/psf/requests/issues/85
1120365,86,Be able to get the response content as a file like object,2011-06-27T08:50:12Z,2021-09-09T12:00:47Z,2011-07-04T16:01:55Z,closed,2,,jerem,False,791,https://github.com/psf/requests/issues/86
1136636,87,Added the possibility to access headers without fetching the whole body (,2011-06-29T09:13:12Z,2021-09-08T12:01:12Z,2011-07-04T16:01:55Z,closed,1,,jerem,True,85,https://github.com/psf/requests/pull/87
1147471,88,basic auth not working with github api (v3),2011-06-30T23:03:43Z,2021-09-09T12:00:46Z,2011-07-05T15:38:02Z,closed,2,,garbas,False,608,https://github.com/psf/requests/issues/88
1214406,89,We can represent multivalued params with arrays,2011-07-13T09:16:54Z,2021-09-08T12:01:13Z,2011-07-24T02:12:51Z,closed,4,,rabad,True,293,https://github.com/psf/requests/pull/89
1234712,90,keep-alive,2011-07-16T10:17:24Z,2021-09-09T12:00:45Z,2011-07-21T13:07:47Z,closed,5,,janrito,False,281,https://github.com/psf/requests/issues/90
1248297,91,.history doesn't work,2011-07-19T09:39:31Z,2021-09-09T12:00:44Z,2011-08-13T17:03:33Z,closed,3,,jerem,False,328,https://github.com/psf/requests/issues/91
1275331,92,make internal functions available,2011-07-23T17:39:54Z,2021-09-09T12:00:34Z,2011-09-25T23:46:25Z,closed,1,,kennethreitz,False,112,https://github.com/psf/requests/issues/92
1275732,93,Develop,2011-07-23T20:22:52Z,2021-09-08T12:01:13Z,2011-07-24T02:12:52Z,closed,0,,tgulacsi,True,218,https://github.com/psf/requests/pull/93
1311749,94,PATCH error,2011-07-29T18:25:38Z,2021-09-09T12:00:45Z,2011-08-13T17:02:26Z,closed,3,,rabc,False,175,https://github.com/psf/requests/issues/94
1320422,95,requests.models.Request has allow_redirects and redirects,2011-08-01T02:44:39Z,2021-09-09T12:00:45Z,2011-08-01T03:39:49Z,closed,4,,bulkan,False,318,https://github.com/psf/requests/issues/95
1330557,96,"Fixes correct ""relative"" redirections.",2011-08-02T15:05:25Z,2021-09-08T12:01:14Z,2011-08-13T13:37:39Z,closed,2,,jeremys,True,268,https://github.com/psf/requests/pull/96
1331382,97,Turn a request into a CURL command string,2011-08-02T16:59:35Z,2021-09-09T02:11:55Z,2011-08-31T04:09:38Z,closed,2,Feature Request,kennethreitz,False,14,https://github.com/psf/requests/issues/97
1334028,98,Revisit Async Module,2011-08-02T23:26:21Z,2021-09-09T11:01:06Z,2011-09-30T11:17:36Z,closed,13,Planned,kennethreitz,False,15,https://github.com/psf/requests/issues/98
1346949,99,Fixing minor bug in code example - missing apostrophe,2011-08-04T19:48:37Z,2021-09-08T12:01:15Z,2011-08-05T01:07:49Z,closed,2,,petermanser,True,0,https://github.com/psf/requests/pull/99
1370838,100,Added proxies to requests.settings,2011-08-09T08:06:15Z,2021-09-08T12:01:14Z,2011-08-09T10:37:58Z,closed,0,,zsiciarz,True,26,https://github.com/psf/requests/pull/100
1379626,101,HTTP keep alive support,2011-08-10T13:28:39Z,2021-09-09T11:00:52Z,2011-11-13T05:41:39Z,closed,12,,oliverandrich,False,998,https://github.com/psf/requests/issues/101
1393856,102,Content-type problem depending on python version ,2011-08-12T10:08:08Z,2021-09-09T12:00:43Z,2011-08-16T07:47:55Z,closed,1,,moliware,False,1807,https://github.com/psf/requests/issues/102
1400351,103,Remove AuthManager in favor of context manager,2011-08-13T16:36:33Z,2021-09-09T12:00:44Z,2011-08-13T17:05:09Z,closed,0,,kennethreitz,False,0,https://github.com/psf/requests/issues/103
1402404,104,Fix a link in the documentation.,2011-08-14T06:51:11Z,2021-09-08T23:01:17Z,2011-08-14T14:41:33Z,closed,0,,SimonSapin,True,77,https://github.com/psf/requests/pull/104
1402631,105,Content-Encoding issue **edit: issue due to ambiguous documentation**,2011-08-14T09:47:25Z,2021-09-09T12:00:43Z,2011-08-15T16:08:10Z,closed,4,,beaumartinez,False,1021,https://github.com/psf/requests/issues/105
1402696,106,Edited PATCH Requests in README,2011-08-14T10:31:17Z,2021-09-08T12:01:15Z,2011-08-14T14:40:36Z,closed,1,,jbochi,True,0,https://github.com/psf/requests/pull/106
1403069,107,Fixing a small typo.,2011-08-14T13:14:56Z,2021-09-08T12:01:16Z,2011-08-14T14:40:37Z,closed,1,,markstory,True,32,https://github.com/psf/requests/pull/107
1403145,108,fix typo,2011-08-14T13:47:28Z,2021-09-08T12:01:16Z,2011-08-14T14:21:47Z,closed,0,,zed,True,0,https://github.com/psf/requests/pull/108
1405302,109,Documentation Improvements,2011-08-15T02:38:00Z,2021-09-09T12:00:33Z,2011-09-25T23:50:01Z,closed,2,,kennethreitz,False,107,https://github.com/psf/requests/issues/109
1405683,110,content-encoding zlib.decompression issue,2011-08-15T05:42:20Z,2021-09-09T12:00:44Z,2011-08-15T05:44:49Z,closed,2,,ghost,False,142,https://github.com/psf/requests/issues/110
1406598,111,Fix for issue #102,2011-08-15T10:03:18Z,2021-09-08T23:06:22Z,2011-08-16T01:50:11Z,closed,1,,moliware,True,115,https://github.com/psf/requests/pull/111
1407892,112,socket.setdefaulttimeout(timeout),2011-08-15T14:34:17Z,2021-09-09T12:00:44Z,2011-08-15T14:52:38Z,closed,1,,jedie,False,473,https://github.com/psf/requests/issues/112
1408032,113,Use socket.setdefaulttimeout(timeout) only if timeout argument doesn't ex,2011-08-15T14:52:22Z,2021-09-08T23:11:03Z,2011-08-16T01:45:17Z,closed,2,,jedie,True,145,https://github.com/psf/requests/pull/113
1408303,114,Get request headers...,2011-08-15T15:21:52Z,2021-09-09T12:00:39Z,2011-08-31T04:09:01Z,closed,6,Feature Request,jedie,False,948,https://github.com/psf/requests/issues/114
1408392,115,get http content as unicode...,2011-08-15T15:36:12Z,2021-09-09T12:00:39Z,2011-08-31T04:08:39Z,closed,6,,jedie,False,2107,https://github.com/psf/requests/issues/115
1411442,116,There should be a way to extract cookies from request.,2011-08-15T23:23:13Z,2021-09-09T12:00:41Z,2011-08-20T01:14:15Z,closed,1,,newptcai,False,70,https://github.com/psf/requests/issues/116
1412084,117,Fixed misc spelling mistakes.,2011-08-16T01:53:40Z,2021-09-08T12:01:17Z,2011-08-16T02:06:14Z,closed,1,,alopatin,True,0,https://github.com/psf/requests/pull/117
1412797,118,Feature/session,2011-08-16T06:07:02Z,2021-09-08T12:01:17Z,2011-08-17T04:42:26Z,closed,3,,tomhogans,True,469,https://github.com/psf/requests/pull/118
1413327,119,Redundant code,2011-08-16T08:22:50Z,2021-09-08T12:01:18Z,2011-09-25T23:46:35Z,closed,0,,moliware,True,129,https://github.com/psf/requests/pull/119
1414966,120,Not compatible with python 2.5,2011-08-16T13:20:42Z,2021-09-09T12:00:41Z,2011-08-20T01:14:01Z,closed,3,,newptcai,False,215,https://github.com/psf/requests/issues/120
1421426,121,"Fix a potential memory leak, raise a TooManyRedirects exception with more than 30 redirections, and fix unicode urls.",2011-08-17T08:24:30Z,2021-09-08T22:01:20Z,2011-08-20T00:13:03Z,closed,2,,jerem,True,676,https://github.com/psf/requests/pull/121
1421441,122,Fixing myself :),2011-08-17T08:28:53Z,2021-09-08T12:01:18Z,2011-08-17T08:29:58Z,closed,0,,jeremys,True,0,https://github.com/psf/requests/pull/122
1422121,123,As proposed by @davidbgk this is only consistent with \o/ :),2011-08-17T10:40:44Z,2021-09-08T23:11:06Z,2011-08-17T13:41:39Z,closed,1,,mitsuhiko,True,53,https://github.com/psf/requests/pull/123
1422198,124,"Support PURGE request. Not sure if this is valid by any spec, but caches ",2011-08-17T10:57:01Z,2021-09-08T12:01:19Z,2011-08-18T00:18:56Z,closed,1,,miohtama,True,166,https://github.com/psf/requests/pull/124
1422653,125,Typo in documentation,2011-08-17T12:40:26Z,2021-09-08T12:01:20Z,2011-08-17T13:45:40Z,closed,0,,sharat87,True,73,https://github.com/psf/requests/pull/125
1423134,126,Error fetching non-existant pages using authentication,2011-08-17T14:10:25Z,2021-09-09T11:01:07Z,2011-09-25T23:50:23Z,closed,9,,ukch,False,1178,https://github.com/psf/requests/issues/126
1430712,127,gzip decompression not working,2011-08-18T09:07:57Z,2021-09-09T12:00:42Z,2011-08-18T14:37:47Z,closed,1,,ghost,False,289,https://github.com/psf/requests/issues/127
1440016,128,Response not working with lxml,2011-08-19T10:27:18Z,2021-09-09T12:00:42Z,2011-08-19T23:55:35Z,closed,1,,j0hnsmith,False,490,https://github.com/psf/requests/issues/128
1444945,129,Issue 128,2011-08-19T16:31:39Z,2021-09-08T12:01:20Z,2011-08-19T23:40:08Z,closed,1,,densh,True,399,https://github.com/psf/requests/pull/129
1449355,130,Added readline method to response object.,2011-08-20T11:07:56Z,2021-09-08T12:01:19Z,2011-08-20T23:23:58Z,closed,2,,janrito,True,115,https://github.com/psf/requests/pull/130
1452318,131,Refactor Response.content into a property,2011-08-21T09:08:41Z,2021-09-08T23:01:13Z,2011-08-21T10:59:21Z,closed,2,,densh,True,252,https://github.com/psf/requests/pull/131
1452500,132,Extra mention in the list,2011-08-21T11:10:49Z,2021-09-08T12:01:21Z,2011-08-21T11:12:02Z,closed,1,,densh,True,77,https://github.com/psf/requests/pull/132
1455480,133,Optional base url attribute on Session object,2011-08-22T06:36:38Z,2021-09-02T00:07:13Z,2011-08-23T04:51:59Z,closed,5,,bulkan,False,248,https://github.com/psf/requests/issues/133
1464586,134,"More hooks, in pipe",2011-08-23T08:34:15Z,2021-09-09T10:00:53Z,2011-11-26T15:49:46Z,closed,3,,monkeython,False,166,https://github.com/psf/requests/issues/134
1464639,135,More content encodings.,2011-08-23T08:44:05Z,2021-09-09T12:00:35Z,2011-09-25T23:45:26Z,closed,3,,monkeython,False,280,https://github.com/psf/requests/issues/135
1464934,136,Add test_requests.py to manifest,2011-08-23T09:39:07Z,2021-09-08T23:11:00Z,2011-08-23T13:34:47Z,closed,6,,jbergstroem,True,109,https://github.com/psf/requests/pull/136
1466211,137,Added multiple hooks support.,2011-08-23T13:13:39Z,2021-09-08T12:01:22Z,2011-10-11T12:39:49Z,closed,4,,monkeython,True,28,https://github.com/psf/requests/pull/137
1467840,138,Progressive downloading,2011-08-23T16:38:04Z,2021-09-09T12:00:39Z,2011-08-31T04:07:43Z,closed,4,,bjourne,False,155,https://github.com/psf/requests/issues/138
1471723,139,Issue #97 - Turn a request into a CURL command string,2011-08-24T03:47:58Z,2021-09-08T12:01:22Z,2011-09-05T20:27:49Z,closed,9,,mawaldne,True,342,https://github.com/psf/requests/pull/139
1496864,140,HTTP Headers w/ Multiple Values,2011-08-26T17:39:57Z,2021-09-09T10:00:52Z,2011-11-26T15:51:32Z,closed,4,,kennethreitz,False,0,https://github.com/psf/requests/issues/140
1499278,141,Session local argument merging,2011-08-27T01:34:02Z,2021-09-09T12:00:33Z,2011-09-26T01:02:55Z,closed,2,,kennethreitz,False,0,https://github.com/psf/requests/issues/141
1511492,142,Fixed logic for auto redirect in GET and HEAD methods.,2011-08-29T16:03:48Z,2021-09-08T12:01:21Z,2011-09-03T15:45:12Z,closed,11,,verm666,True,72,https://github.com/psf/requests/pull/142
1517852,143,Build a form like curl -F,2011-08-30T09:58:41Z,2021-09-09T12:00:38Z,2011-08-31T04:07:20Z,closed,2,,kigeia,False,400,https://github.com/psf/requests/issues/143
